,Index,label_longname,Type
92,28,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_1.2,radi
93,29,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_0.8,radi
94,30,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_1.2,radi
95,31,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_0.8,radi
96,32,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_1.2,radi
97,33,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_0.8,radi
98,34,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_1.2,radi
99,35,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_0.8,radi
100,36,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_1.2,radi
101,37,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_0.8,radi
102,38,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_1.2,radi
103,39,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_0.8,radi
